series_id,year,period,value,footnote_codes,state_fips,county_fips,measure_code,county_name,date,metric,value_lag_1m,value_lag_1y,mom_change,yoy_change
LAUCN260930000000005,1990,M01,57760,"",26,093,05,Livingston,1990-01-01,employed_count,,,,
LAUCN260930000000005,1990,M02,58606,"",26,093,05,Livingston,1990-02-01,employed_count,57760,,846,
LAUCN260930000000005,1990,M03,58759,"",26,093,05,Livingston,1990-03-01,employed_count,58606,,153,
LAUCN260930000000005,1990,M04,57940,"",26,093,05,Livingston,1990-04-01,employed_count,58759,,-819,
LAUCN260930000000005,1990,M05,57835,"",26,093,05,Livingston,1990-05-01,employed_count,57940,,-105,
LAUCN260930000000005,1990,M06,57933,"",26,093,05,Livingston,1990-06-01,employed_count,57835,,98,
LAUCN260930000000005,1990,M07,56407,"",26,093,05,Livingston,1990-07-01,employed_count,57933,,-1526,
LAUCN260930000000005,1990,M08,56291,"",26,093,05,Livingston,1990-08-01,employed_count,56407,,-116,
LAUCN260930000000005,1990,M09,58326,"",26,093,05,Livingston,1990-09-01,employed_count,56291,,2035,
LAUCN260930000000005,1990,M10,58509,"",26,093,05,Livingston,1990-10-01,employed_count,58326,,183,
LAUCN260930000000005,1990,M11,58939,"",26,093,05,Livingston,1990-11-01,employed_count,58509,,430,
LAUCN260930000000005,1990,M12,58862,"",26,093,05,Livingston,1990-12-01,employed_count,58939,,-77,
LAUCN260930000000005,1991,M01,58272,"",26,093,05,Livingston,1991-01-01,employed_count,58862,57760,-590,512
LAUCN260930000000005,1991,M02,59108,"",26,093,05,Livingston,1991-02-01,employed_count,58272,58606,836,502
LAUCN260930000000005,1991,M03,59328,"",26,093,05,Livingston,1991-03-01,employed_count,59108,58759,220,569
LAUCN260930000000005,1991,M04,58362,"",26,093,05,Livingston,1991-04-01,employed_count,59328,57940,-966,422
LAUCN260930000000005,1991,M05,57796,"",26,093,05,Livingston,1991-05-01,employed_count,58362,57835,-566,-39
LAUCN260930000000005,1991,M06,57980,"",26,093,05,Livingston,1991-06-01,employed_count,57796,57933,184,47
LAUCN260930000000005,1991,M07,57740,"",26,093,05,Livingston,1991-07-01,employed_count,57980,56407,-240,1333
LAUCN260930000000005,1991,M08,57357,"",26,093,05,Livingston,1991-08-01,employed_count,57740,56291,-383,1066
LAUCN260930000000005,1991,M09,59162,"",26,093,05,Livingston,1991-09-01,employed_count,57357,58326,1805,836
LAUCN260930000000005,1991,M10,60363,"",26,093,05,Livingston,1991-10-01,employed_count,59162,58509,1201,1854
LAUCN260930000000005,1991,M11,60034,"",26,093,05,Livingston,1991-11-01,employed_count,60363,58939,-329,1095
LAUCN260930000000005,1991,M12,59589,"",26,093,05,Livingston,1991-12-01,employed_count,60034,58862,-445,727
LAUCN260930000000005,1992,M01,62132,"",26,093,05,Livingston,1992-01-01,employed_count,59589,58272,2543,3860
LAUCN260930000000005,1992,M02,62616,"",26,093,05,Livingston,1992-02-01,employed_count,62132,59108,484,3508
LAUCN260930000000005,1992,M03,62819,"",26,093,05,Livingston,1992-03-01,employed_count,62616,59328,203,3491
LAUCN260930000000005,1992,M04,62659,"",26,093,05,Livingston,1992-04-01,employed_count,62819,58362,-160,4297
LAUCN260930000000005,1992,M05,62074,"",26,093,05,Livingston,1992-05-01,employed_count,62659,57796,-585,4278
LAUCN260930000000005,1992,M06,62562,"",26,093,05,Livingston,1992-06-01,employed_count,62074,57980,488,4582
LAUCN260930000000005,1992,M07,62869,"",26,093,05,Livingston,1992-07-01,employed_count,62562,57740,307,5129
LAUCN260930000000005,1992,M08,62624,"",26,093,05,Livingston,1992-08-01,employed_count,62869,57357,-245,5267
LAUCN260930000000005,1992,M09,62443,"",26,093,05,Livingston,1992-09-01,employed_count,62624,59162,-181,3281
LAUCN260930000000005,1992,M10,63612,"",26,093,05,Livingston,1992-10-01,employed_count,62443,60363,1169,3249
LAUCN260930000000005,1992,M11,64836,"",26,093,05,Livingston,1992-11-01,employed_count,63612,60034,1224,4802
LAUCN260930000000005,1992,M12,64749,"",26,093,05,Livingston,1992-12-01,employed_count,64836,59589,-87,5160
LAUCN260930000000005,1993,M01,63477,"",26,093,05,Livingston,1993-01-01,employed_count,64749,62132,-1272,1345
LAUCN260930000000005,1993,M02,64391,"",26,093,05,Livingston,1993-02-01,employed_count,63477,62616,914,1775
LAUCN260930000000005,1993,M03,64039,"",26,093,05,Livingston,1993-03-01,employed_count,64391,62819,-352,1220
LAUCN260930000000005,1993,M04,64473,"",26,093,05,Livingston,1993-04-01,employed_count,64039,62659,434,1814
LAUCN260930000000005,1993,M05,63591,"",26,093,05,Livingston,1993-05-01,employed_count,64473,62074,-882,1517
LAUCN260930000000005,1993,M06,64251,"",26,093,05,Livingston,1993-06-01,employed_count,63591,62562,660,1689
LAUCN260930000000005,1993,M07,64046,"",26,093,05,Livingston,1993-07-01,employed_count,64251,62869,-205,1177
LAUCN260930000000005,1993,M08,63780,"",26,093,05,Livingston,1993-08-01,employed_count,64046,62624,-266,1156
LAUCN260930000000005,1993,M09,64225,"",26,093,05,Livingston,1993-09-01,employed_count,63780,62443,445,1782
LAUCN260930000000005,1993,M10,65690,"",26,093,05,Livingston,1993-10-01,employed_count,64225,63612,1465,2078
LAUCN260930000000005,1993,M11,65503,"",26,093,05,Livingston,1993-11-01,employed_count,65690,64836,-187,667
LAUCN260930000000005,1993,M12,65249,"",26,093,05,Livingston,1993-12-01,employed_count,65503,64749,-254,500
LAUCN260930000000005,1994,M01,65565,"",26,093,05,Livingston,1994-01-01,employed_count,65249,63477,316,2088
LAUCN260930000000005,1994,M02,66244,"",26,093,05,Livingston,1994-02-01,employed_count,65565,64391,679,1853
LAUCN260930000000005,1994,M03,65759,"",26,093,05,Livingston,1994-03-01,employed_count,66244,64039,-485,1720
LAUCN260930000000005,1994,M04,65909,"",26,093,05,Livingston,1994-04-01,employed_count,65759,64473,150,1436
LAUCN260930000000005,1994,M05,65261,"",26,093,05,Livingston,1994-05-01,employed_count,65909,63591,-648,1670
LAUCN260930000000005,1994,M06,65724,"",26,093,05,Livingston,1994-06-01,employed_count,65261,64251,463,1473
LAUCN260930000000005,1994,M07,65660,"",26,093,05,Livingston,1994-07-01,employed_count,65724,64046,-64,1614
LAUCN260930000000005,1994,M08,65707,"",26,093,05,Livingston,1994-08-01,employed_count,65660,63780,47,1927
